
2026/07/17 (11:12:08) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:12:09) | ===> btop++ v.1.3.2
2026/07/17 (11:12:09) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:12:09) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:12:09) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:12:09) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:12:48) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:12:49) | ===> btop++ v.1.3.2
2026/07/17 (11:12:49) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:12:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:12:49) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:12:49) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:13:33) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:13:33) | ===> btop++ v.1.3.2
2026/07/17 (11:13:33) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:13:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:13:33) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:13:33) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:14:44) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:14:45) | ===> btop++ v.1.3.2
2026/07/17 (11:14:45) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:14:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:14:45) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:14:45) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:15:22) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:15:23) | ===> btop++ v.1.3.2
2026/07/17 (11:15:23) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:15:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:15:23) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:15:23) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:17:35) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:18:16) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:19:06) | ERROR: Invalid hex value: #1c75dc

2026/07/17 (11:19:18) | ===> btop++ v.1.3.2
2026/07/17 (11:19:18) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:19:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:19:18) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:19:18) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:19:27) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:20:08) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:20:08) | ===> btop++ v.1.3.2
2026/07/17 (11:20:08) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:20:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:20:08) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:20:08) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:21:11) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:24:09) | ERROR: Invalid hex value: #1c75dc
2026/07/17 (11:24:20) | WARNING: Failed to join _runner thread on exit!

2026/07/17 (11:25:57) | ===> btop++ v.1.3.2
2026/07/17 (11:25:57) | WARNING: ROCm SMI: Failed to get device name
2026/07/17 (11:25:57) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/17 (11:25:57) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/17 (11:25:57) | ERROR: Invalid hex value: #1c75dc

2026/07/18 (11:45:52) | ===> btop++ v.1.3.2
2026/07/18 (11:45:52) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (11:45:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (11:45:52) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (11:45:52) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (11:48:21) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (11:49:37) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (11:50:12) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (11:51:20) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (11:52:46) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (11:54:07) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (11:54:36) | ERROR: Invalid hex value: #1c75dc

2026/07/18 (11:54:38) | ===> btop++ v.1.3.2
2026/07/18 (11:54:38) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (11:54:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (11:54:38) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (11:54:38) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (12:01:01) | WARNING: Failed to join _runner thread on exit!

2026/07/18 (12:01:02) | ===> btop++ v.1.3.2
2026/07/18 (12:01:02) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (12:01:02) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (12:01:02) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (12:01:06) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (12:01:43) | WARNING: Failed to join _runner thread on exit!

2026/07/18 (12:01:44) | ===> btop++ v.1.3.2
2026/07/18 (12:01:44) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (12:01:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (12:01:44) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (12:01:44) | ERROR: Invalid hex value: #1c75dc
2026/07/18 (12:01:58) | WARNING: Failed to join _runner thread on exit!

2026/07/18 (12:01:59) | ===> btop++ v.1.3.2
2026/07/18 (12:01:59) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (12:01:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (12:01:59) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (12:01:59) | ERROR: Invalid hex value: #1c75dc

2026/07/18 (12:04:25) | ===> btop++ v.1.3.2
2026/07/18 (12:04:25) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (12:04:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (12:04:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/18 (13:22:36) | ===> btop++ v.1.3.2
2026/07/18 (13:22:36) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (13:22:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (13:22:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/18 (18:56:47) | ===> btop++ v.1.3.2
2026/07/18 (18:56:47) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (18:56:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (18:56:47) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (19:00:23) | WARNING: Failed to join _runner thread on exit!

2026/07/18 (19:00:31) | ===> btop++ v.1.3.2
2026/07/18 (19:00:31) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (19:00:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (19:00:31) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (19:03:07) | ERROR: Exception during Config::unlock() : unordered_map::at

2026/07/18 (19:55:40) | ===> btop++ v.1.3.2
2026/07/18 (19:55:40) | WARNING: ROCm SMI: Failed to get device name
2026/07/18 (19:55:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/18 (19:55:40) | WARNING: ROCm SMI: Failed to get PCIe throughput
2026/07/18 (19:56:16) | WARNING: Failed to join _runner thread on exit!

2026/07/19 (10:38:08) | ===> btop++ v.1.3.2
2026/07/19 (10:38:08) | WARNING: ROCm SMI: Failed to get device name
2026/07/19 (10:38:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2026/07/19 (10:38:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2026/07/19 (23:06:47) | ===> btop++ v.1.3.2
2026/07/19 (23:06:47) | WARNING: ROCm SMI: Failed to get device name
2026/07/19 (23:06:47) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
